name,country,subcountry,geonameid
Kuah,Malaysia,Kedah,1222396
Jerantut,Malaysia,Pahang,1732602
Maran,Malaysia,Pahang,1732637
Raub,Malaysia,Pahang,1732663
Bentung,Malaysia,Pahang,1732667
Tanjong Malim,Malaysia,Perak,1732672
Kuala Kubu Baharu,Malaysia,Selangor,1732676
Parit Sulung,Malaysia,Johor,1732680
Batu Pahat,Malaysia,Johor,1732687
Parit Raja,Malaysia,Johor,1732698
Simpang Renggam,Malaysia,Johor,1732700
Pekan Nenas,Malaysia,Johor,1732706
Pontian Besar,Malaysia,Johor,1732710
Kampung Pasir Gudang Baru,Malaysia,Johor,1732721
Pasir Gudang,Malaysia,Johor,1732722
Kampung Larkin Lama,Malaysia,Johor,1732724
Kampung Sedenak,Malaysia,Johor,1732734
Kota Tinggi,Malaysia,Johor,1732738
Taman Senai,Malaysia,Johor,1732741
Kulai,Malaysia,Johor,1732742
Skudai,Malaysia,Johor,1732745
Kempas,Malaysia,Johor,1732746
Pelentong,Malaysia,Johor,1732747
Masai,Malaysia,Johor,1732750
Johor Bahru,Malaysia,Johor,1732752
Gelang Patah,Malaysia,Johor,1732755
Pengerang,Malaysia,Johor,1732785
Kluang,Malaysia,Johor,1732811
Yong Peng,Malaysia,Johor,1732814
Mersing,Malaysia,Johor,1732826
Segamat,Malaysia,Johor,1732846
Tangkak,Malaysia,Johor,1732857
Gerisek,Malaysia,Johor,1732858
Pagoh,Malaysia,Johor,1732859
Muar,Malaysia,Johor,1732869
Bakri,Malaysia,Johor,1732871
Labis,Malaysia,Johor,1732877
Kuala Selangor,Malaysia,Selangor,1732891
Batang Berjuntai,Malaysia,Selangor,1732892
Batu Arang,Malaysia,Selangor,1732893
Kapar,Malaysia,Selangor,1732901
Shah Alam,Malaysia,Selangor,1732903
Klang,Malaysia,Selangor,1732905
Cangkat Jong,Malaysia,Perak,1732915
Sungkai,Malaysia,Perak,1732927
Cukai,Malaysia,Terengganu,1732945
Kuala Lipis,Malaysia,Pahang,1733023
Val Dor,Malaysia,Penang,1733331
Papar,Malaysia,Sabah,1733353
Kuala Penyu,Malaysia,Sabah,1733376
Kota Kinabalu,Malaysia,Sabah,1733432
Donggongon,Malaysia,Sabah,1733438
Putatan,Malaysia,Sabah,1733440
Kinarut,Malaysia,Sabah,1733449
Tambunan,Malaysia,Sabah,1733468
Ranau,Malaysia,Sabah,1733502
Semporna,Malaysia,Sabah,1733697
Labuan,Malaysia,Labuan,1733782
Sipitang,Malaysia,Sabah,1733868
Beaufort,Malaysia,Sabah,1733874
Lahad Datu,Malaysia,Sabah,1733953
Sandakan,Malaysia,Sabah,1734052
Keningau,Malaysia,Sabah,1734098
Bandar Nabawan,Malaysia,Sabah,1734114
Tawau,Malaysia,Sabah,1734199
Dungun,Malaysia,Terengganu,1734308
Paka,Malaysia,Terengganu,1734313
Kertih,Malaysia,Terengganu,1734316
Gerik,Malaysia,Perak,1734372
Lunas,Malaysia,Kedah,1734389
Kulim,Malaysia,Kedah,1734393
Selama,Malaysia,Perak,1734399
Bandar Baharu,Malaysia,Kedah,1734407
Bagan Serai,Malaysia,Perak,1734409
Padang Serai,Malaysia,Kedah,1734418
Bedong,Malaysia,Kedah,1734439
Kampung Kupang,Malaysia,Kedah,1734444
Pulai,Malaysia,Kedah,1734445
Kampung Jeli,Malaysia,Kelantan,1734464
Siburan,Malaysia,Sarawak,1734506
Tebedu,Malaysia,Sarawak,1734537
Bau,Malaysia,Sarawak,1734539
Simpang Empat,Malaysia,Perak,1734576
Kamunting,Malaysia,Perak,1734577
Batu Kurau,Malaysia,Perak,1734579
Taiping,Malaysia,Perak,1734586
Padang Rengas,Malaysia,Perak,1734594
Kuala Kangsar,Malaysia,Perak,1734599
Chemor,Malaysia,Perak,1734626
Ipoh,Malaysia,Perak,1734634
Lahat,Malaysia,Perak,1734637
Gua Musang,Malaysia,Kelantan,1734651
Kuala Terengganu,Malaysia,Terengganu,1734705
Marang,Malaysia,Terengganu,1734715
Kampung Teluk Kemang,Malaysia,Negeri Sembilan,1734721
Tampin,Malaysia,Negeri Sembilan,1734738
Alor Gajah,Malaysia,Melaka,1734745
Durian Tunggal,Malaysia,Melaka,1734748
Kampung Ayer Keroh,Malaysia,Melaka,1734753
Sungai Udang,Malaysia,Melaka,1734757
Malacca,Malaysia,Melaka,1734759
Merlimau,Malaysia,Melaka,1734762
Teluk Panglima Garang,Malaysia,Selangor,1734768
Pelabuhan Klang,Malaysia,Selangor,1734769
Banting,Malaysia,Selangor,1734781
Jenjarum,Malaysia,Selangor,1734793
Bangi,Malaysia,Selangor,1734797
Semenyih,Malaysia,Selangor,1734798
